no,X,Y,OBJECTID,BBY_PID,LOT_ID,GIS_ID,LTO_PID,ST_UNIT,ST_NMBR,ST_NAME,ST_TYPE,ST_SFX,UNIT,ADDRESS,PLAN,DL,BLOCK,LOT,STRATA,AIR_SPACE,AGGREGATE,AGGR_ROLL,CASENO,STATUS,CASE_TYPE,PID,CASE_BUS_TR_NAME,serviceProvded,CASE_BUS_TYPE_DESC,BUS_CLASS_UNITS,BUS_CLASS_NO,BUS_CLASS_DESC,APPLYDATE,ISSUEDATE,EXPIRYDATE,LICENCESTATUS,NAME_LAST
8653,-122.9900183,49.22491246,8653,000-022-865,27319,4395,003-004-538, ,5152,KINGSWAY, ,, ,5152 KINGSWAY,NWP62999,152, ,76,N,N,N,,BUS18-01760,Approved,,000-022-865,CAFE SWEETS & BEANS,n,Cafe - 50 seats,Seats,50,Restaurant,2018-08-08T17:34:25.000Z,2019-01-02T08:02:06.000Z,2019-12-31T08:00:00.000Z,Approved,JB CAFE SWEETS & BEANS LTD
8736,-122.9779326,49.28062276,8736,000-003-687,4562,7457,002-437-929, ,5933,HASTINGS,ST,, ,5931 HASTINGS ST,NWP4180,205, ,10,N,N,N,,BUS18-01911,Approved,,000-003-687,ZETA CAFE,n,Restaurant 42 seat,Seats,42,Restaurant,2018-08-30T22:55:08.000Z,2018-12-19T23:26:44.000Z,2019-12-31T08:00:00.000Z,Approved,NAPURE INVESTMENTS LIMITED
8781,-123.0002391,49.26808912,8781,000-078-057,116865,16314,029-182-549,205B,4567,LOUGHEED,HWY,,205B,4567 LOUGHEED HY,EPP31990,123,,1,N,N,N,,BUS18-01987,Approved,,000-078-057,STARBUCKS COFFEE #4431,y,Retail & cafe - 10 seats,Seats,10,Restaurant,2018-09-11T18:35:39.000Z,2018-12-08T08:02:48.000Z,2019-12-31T08:00:00.000Z,Approved,STARBUCKS COFFEE CANADA INC
8782,-123.001182,49.22675173,8782,000-070-298,112317,5624,027-557-464,2255,4700,KINGSWAY, ,,2255,4700 KINGSWAY,BCP36875,153,,1,N,Y,N,,BUS18-01988,Approved,,000-070-298,STARBUCKS COFFEE #4428,y,Retail & coffee bar - 10 seats,Seats,10,Restaurant,2018-09-11T18:42:51.000Z,2018-12-08T08:01:26.000Z,2019-12-31T08:00:00.000Z,Approved,STARBUCKS COFFEE CANADA INC
8814,-122.9978483,49.22536145,8814,000-070-299,112146,27997,025-702-254,342,4820,KINGSWAY, ,,342,4800 KINGSWAY,BCP6303,32, ,1,N,N,N,,BUS18-02038,Approved,,000-070-299,BUBBLE WAFFLE CAFE,n,Chinese fast food,Seats,0,Restaurant,2018-09-18T18:52:01.000Z,2018-12-13T08:00:18.000Z,2019-12-31T08:00:00.000Z,Approved,0947818 BC LTD
8974,-123.001182,49.22675173,8974,000-070-298,112317,5624,027-557-464,E21,4700,KINGSWAY, ,,E21,4700 KINGSWAY,BCP36875,153,,1,N,Y,N,,BUS18-02329,Approved,,000-070-298,BLENZ METROTOWN NORTH,n,Coffee shop,Seats,27,Restaurant,2018-11-23T03:37:05.000Z,2019-02-02T08:00:12.000Z,2019-12-31T08:00:00.000Z,Approved,1026298 BC LTD
9341,-123.0010084,49.25248537,9341,000-069-422,15665,39448,000-653-420,SE12,3700,WILLINGDON,AVE,,SE12,3700 WILLINGDON AV,NWP68136,71,,RemA,N,N,C,5655-3700-5000,BUS19-00318,Approved,,000-069-422,BCIT - CAMPUS CAFE & TIM HORTONS #67424,y,Take out restaurant,Seats,0,Restaurant,2019-01-25T19:29:03.000Z,2019-02-25T16:26:29.000Z,2019-12-31T08:00:00.000Z,Approved,
9418,-122.9884752,49.22387877,9418,000-073-649,112310,29182,028-054-539,106,6588,ROYAL OAK,AVE,,106,5211 GRIMMER ST,BCS3628,94, ,3,Y,N,N,,BUS19-00437,Approved,,000-073-942,CAFE 106,n,Coffee shop,Seats,6,Restaurant,2019-02-11T18:29:43.000Z,2019-02-11T18:35:45.000Z,2019-12-31T08:00:00.000Z,Approved,
9630,-123.0109485,49.26390795,9630,000-070-828,112019,29086,027-519-422, ,4208,DAWSON,ST,, ,4208 DAWSON ST,BCS2906,119, ,147,Y,N,N,,BUS19-00806,Approved,,000-070-828,EIGHT TWELVE CAKE AND DESSERT,n,Coffee and cake shop - 10 seats,Seats,10,Restaurant,2019-03-22T18:42:53.000Z,2019-03-22T18:59:23.000Z,2019-12-31T08:00:00.000Z,Approved,
9705,-122.9182228,49.27644901,9705,000-074-853,112962,39922,028-300-131,AQ,8888,UNIVERSITY,DR,,AQ,8888 UNIVERSITY DR,BCP45523,31,,1,N,N,N,,BUS19-00945,Approved,,000-074-853,SFU - MACKENZIE CAFE #67354,n,Cafe - 530 seats,Seats,530,Restaurant,2019-04-09T16:39:40.000Z,2019-04-10T21:05:33.000Z,2019-12-31T08:00:00.000Z,Approved,
9706,-122.9182228,49.27644901,9706,000-074-853,112962,39922,028-300-131,WMALL,8888,UNIVERSITY,DR,,WMALL,8888 UNIVERSITY DR,BCP45523,31,,1,N,N,N,,BUS19-00946,Approved,,000-074-853,SFU - STARBUCKS WEST MALL #67355,y,Coffee shop - 85 seats,Seats,85,Restaurant,2019-04-09T16:43:26.000Z,2019-04-10T21:06:00.000Z,2019-12-31T08:00:00.000Z,Approved,
9707,-122.9116585,49.27791007,9707,000-062-378,106003,27700,025-693-361, ,8906,UNIVERSITY HIGH,ST,, ,8900 UNIVERSITY HIGH ST,BCP6258,211, ,2,Y,N,N,,BUS19-00947,Approved,,000-062-378,SFU - STARBUCKS CORNERSTONE #67358,y,Coffee shop - 50 seats,Seats,50,Restaurant,2019-04-09T16:44:49.000Z,2019-04-10T21:06:28.000Z,2019-12-31T08:00:00.000Z,Approved,
9712,-123.0119587,49.26693405,9712,000-011-464,11933,17438,001-885-804, ,4191,LOUGHEED,HWY,, ,4199 LOUGHEED HY,NWP3363,119, ,C,N,N,N,,BUS19-00953,Approved,,000-011-464,TIM HORTONS,y,70 seat restaurant,Seats,70,Restaurant,2019-04-09T18:56:45.000Z,2019-04-09T19:07:16.000Z,2019-12-31T08:00:00.000Z,Approved,
10445,-123.0121841,49.28152532,10445,000-002-660,3865,19039,017-923-409,101,4191,HASTINGS,ST,,101,4160 ALBERT ST,LMS535,121, ,77,Y,N,N,,BUS95-01625,Approved,,000-003-432,STARBUCKS COFFEE #127,y,30 seat retail cafe,Seats,30,Restaurant,1995-02-13T08:00:00.000Z,2018-12-08T08:02:23.000Z,2019-12-31T08:00:00.000Z,Approved,STARBUCKS COFFEE CANADA INC
10446,-123.001182,49.22675173,10446,000-070-298,112317,5624,027-557-464,1174,4700,KINGSWAY,,,1174,4700 KINGSWAY,BCP36875,153,,1,N,Y,N,,BUS95-01626,Approved,,000-070-298,STARBUCKS COFFEE #4212,y,56 seat cafe,Seats,56,Restaurant,1995-12-04T08:00:00.000Z,2018-12-08T08:01:11.000Z,2019-12-31T08:00:00.000Z,Approved,STARBUCKS COFFEE CANADA INC
10521,-123.0189434,49.24999526,10521,000-018-807,17495,33888,001-783-491, ,3831,SUNSET,ST,, ,3825 SUNSET ST,NWS1371,68, ,3,Y,N,N,,BUS96-01631,Approved,,000-018-825,THE NEW CAIRO CAFE,n,10 seats,Seats,10,Restaurant,1996-01-31T08:00:00.000Z,2019-02-23T00:19:19.000Z,2019-12-31T08:00:00.000Z,Approved,YASER EZZAT
10613,-122.89587,49.25124039,10613,100-001-652,1017646,43235,003-237-028,215A,9855,AUSTIN,RD,,215A,9855 AUSTIN RD,NWP36145,4,,79,N,N,N,,BUS97-01926,Approved,,100-001-652,STARBUCKS COFFEE #4274,y,24 seats,Seats,24,Restaurant,1997-05-16T07:00:00.000Z,2018-12-08T08:02:28.000Z,2019-12-31T08:00:00.000Z,Approved,STARBUCKS COFFEE CANADA INC
