no,X,Y,OBJECTID,BBY_PID,LOT_ID,GIS_ID,LTO_PID,ST_UNIT,ST_NMBR,ST_NAME,ST_TYPE,ST_SFX,UNIT,ADDRESS,PLAN,DL,BLOCK,LOT,STRATA,AIR_SPACE,AGGREGATE,AGGR_ROLL,CASENO,STATUS,CASE_TYPE,PID,CASE_BUS_TR_NAME,serviceProvded,CASE_BUS_TYPE_DESC,BUS_CLASS_UNITS,BUS_CLASS_NO,BUS_CLASS_DESC,APPLYDATE,ISSUEDATE,EXPIRYDATE,LICENCESTATUS,NAME_LAST
4991,-122.9411658,49.24707243,4991,000-019-503,18281,17608,002-637-812, ,4191,MCCONNELL,DR,, ,4171 MCCONNELL DR,NWP42618,42, ,97,N,N,N,,BUS15-01439,Approved,,000-019-503,LEN'S CATERING/CHEF'S CATERING CAFE,n,Restaurant,Seats,49,Restaurant,2015-05-25T07:00:00.000Z,2018-12-04T08:00:28.000Z,2019-12-31T08:00:00.000Z,Approved,YAHOO TRADING LTD
5069,-123.004875,49.2291041,5069,000-058-695,107868,7336,024-489-654,1021,4500,KINGSWAY,,,1021,4500 KINGSWAY,LMS3863,153, ,41,N,N,N,,BUS15-01717,Approved,,000-057-544,CAFE EGGSTATIC,n,Cafe - 12 seats,Seats,12,Restaurant,2015-07-07T07:00:00.000Z,2019-01-03T08:00:14.000Z,2019-12-31T08:00:00.000Z,Approved,CAFE EGGSTATIC INC
5107,-122.9828484,49.22366475,5107,000-022-888,27887,38697,002-886-286,B,5595,KINGSWAY,,,B,5593 KINGSWAY,NWP7663,94, ,5,N,N,N,,BUS15-01833,Approved,,000-022-888,WEI DAO CAFE,n,Chinese cuisine,Seats,80,Restaurant,2015-07-23T07:00:00.000Z,2018-11-23T08:01:14.000Z,2019-12-31T08:00:00.000Z,Approved,WEI DAO CAFE LTD
5296,-123.0038802,49.22521258,5296,000-079-313,118165,5369,029-339-421, ,4462,BERESFORD,ST,, ,4460 BERESFORD ST,EPS1906,153, ,1,Y,N,N,,BUS15-02370,Approved,,000-079-308,FONDWAY,n,Coffee Shop,Seats,26,Restaurant,2015-10-20T07:00:00.000Z,2019-03-01T08:01:01.000Z,2019-12-31T08:00:00.000Z,Approved,FONDWAY SHOP INC
5406,-123.0038094,49.22686961,5406,000-040-545,25963,6059,011-088-664,20,6200,MCKAY,AVE,,20,6200 MCKAY AV,NWP77781,153, ,B,N,Y,N,,BUS16-00032,Approved,,000-040-545,TIM HORTONS,y,Restaurant - 38 seats,Seats,38,Restaurant,2015-12-01T08:00:00.000Z,2018-12-06T08:01:21.000Z,2019-12-31T08:00:00.000Z,Approved,ARIVLE ENTERPRISES LTD
5416,-122.9425236,49.22367192,5416,000-074-273,112491,25045,028-142-764,104,7655,EDMONDS,ST,,104,7655 EDMONDS ST,EPS108,30, ,4,Y,N,N,,BUS16-00059,Approved,,000-074-276,CARISTAS 9 COFFEE ROASTERS,n,Coffee shop,Seats,30,Restaurant,2015-12-02T08:00:00.000Z,2017-12-29T08:00:35.000Z,2018-12-31T08:00:00.000Z,Approved,MIRACLE CHERRIES COFFEE ROASTER INC
5737,-122.9733315,49.24537279,5737,000-014-900,18645,27353,003-062-104,112,4940,CANADA,WAY,,112,4940 CANADA WY,NWP62907,79, ,58,N,N,N,,BUS16-00823,Approved,,000-014-900,A AND B COFFEE SHOP,n,Sandwiches/ soup/ coffee,Seats,15,Restaurant,2016-02-26T08:00:00.000Z,2019-02-02T00:00:02.000Z,2019-12-31T08:00:00.000Z,Approved,ROBERTO TAN
5750,-123.0051881,49.26586887,5750,000-077-173,115326,5660,028-885-473,4,4415,SKYLINE,DR,,4,2008 ROSSER AV,BCP51027,119,6,A,N,N,N,,BUS16-00874,Approved,,000-077-173,STARBUCKS COFFEE #29914,y,Retail cafe - 39 seats,Seats,39,Restaurant,2016-03-04T08:00:00.000Z,2018-12-08T08:02:10.000Z,2019-12-31T08:00:00.000Z,Approved,STARBUCKS COFFEE CANADA INC
5786,-123.0116501,49.25285918,5786,000-038-374,16080,34529,023-285-893, ,3555,GILMORE,WAY,, ,3555 GILMORE WY,LMP24640,71,,A,N,N,N,,BUS16-00972,Approved,,000-038-374,MOM'S HAND CAFETERIA,n,Take-out cafe,Seats,0,Restaurant,2016-03-15T07:00:00.000Z,2019-02-26T08:00:48.000Z,2019-12-31T08:00:00.000Z,Approved,YOUNG JIN KIM
5930,-122.9993374,49.22871087,5930,000-022-835,25169,39384,003-382-648, ,4697,KINGSWAY,,, ,4687 KINGSWAY,NWP1768,153, ,4 & 5,N,N,P,2690-4687-0000,BUS16-01354,Approved,,000-022-835,SULMIDA DESSERT CAFE,n,22 seat coffee shop,Seats,22,Restaurant,2016-05-06T07:00:00.000Z,2018-11-09T23:50:32.000Z,2019-12-31T08:00:00.000Z,Approved,SULMIDA DESSERT CAFE LTD
5977,-123.004875,49.2291041,5977,000-058-695,107868,7336,024-491-691,2111,4500,KINGSWAY,,,2111,4500 KINGSWAY,LMS3863,153, ,244,N,N,N,,BUS16-01482,Approved,,000-057-392,BUBBLE WAFFLE CAFE,n,Fish noodles & rice,Seats,0,Restaurant,2016-05-26T07:00:00.000Z,2018-12-21T00:06:12.000Z,2019-12-31T08:00:00.000Z,Approved,XU YUEN CATERING CORP
